temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,cloud_cover_pct,dew_point_c,cloud_type,rain_tomorrow
10.16,66.11,1020.16,14.08,11.33,3.66,Cirrus,Rain
15.49,84.58,1012.5,10.16,96.31,10.15,Cumulus,Rain
42,48.6,1013.96,7.62,36.53,28,Cumulus,No Rain
23.29,95.58,1010.23,21.03,91.85,24.66,Cumulus,Rain
15.92,54.88,1023.88,5.57,76.92,7.23,Cumulus,No Rain
18.07,55.7,1018.52,12.34,56.76,10.11,Cumulus,No Rain
16.52,86.33,1015.71,14.63,84.6,15.58,Cumulus,Rain
18.13,90.56,1002.69,15.76,73.95,14.32,Cumulus,Rain
31.44,41.62,1016.49,3.92,93.56,20.95,Cumulus,No Rain
23.82,72.23,1007.58,10.92,49.76,17.96,Cumulus,No Rain
18.44,69.88,1009.63,7.67,64.58,10.86,Cumulus,No Rain
22.82,74.42,1015.73,5.91,72.72,18.14,Cumulus,No Rain
6.33,44.13,1015.36,8.96,50.14,-3.36,Cumulus,No Rain
29.26,44.15,1010.54,7.59,51.11,19.11,Nimbus,No Rain
8.8,34.88,1005.74,6.57,33.87,-3.88,Cirrus,No Rain
27.32,16.51,1003.95,9.27,60.37,11.28,Cumulus,No Rain
25.85,37.59,1019.92,8.02,62.91,10.99,Cumulus,Rain
24.83,48.71,1021.12,15.88,66.31,14.21,Cumulus,No Rain
19.04,55.24,1028.03,12.47,20.65,8.52,Cirrus,No Rain
27.18,66.76,1014.43,5.28,100,20.12,Cumulus,No Rain
13.83,59.27,1004.03,12.42,39.92,5.87,Cumulus,No Rain
17.89,54.17,1024.47,22.5,75.47,10.65,Cumulus,No Rain
18.23,43.53,998.48,11.67,31.48,8.71,Cirrus,No Rain
35.27,23.92,1012.55,9.22,82.45,21.06,Cumulus,No Rain
13.44,58.37,1008.25,4.98,100,6.66,Cirrus,Rain
15.06,55.43,991.28,9.6,69.07,4.77,Cumulus,Rain
3.78,52.28,1016.78,19.17,60.26,-5.99,Stratus,No Rain
42,32.08,1011.83,4.94,25.13,28,Cirrus,No Rain
11.0,99.19,1016.07,8.77,76.03,12.01,Stratus,Rain
19.76,72.11,1019.66,7.81,26.76,15.01,Cirrus,No Rain
25.84,100,1012.85,33.14,71.52,26.92,Cumulonimbus,Rain
11.92,48.9,1011.99,7.03,100,0.82,Stratus,No Rain
18.7,81.71,1011.69,8.42,36.84,13.22,Stratus,No Rain
27.67,27.52,1012.93,6.86,35.01,13.24,Cumulus,No Rain
2.64,88.03,1018.44,3.24,81.09,0.48,Stratus,Rain
13.68,83.37,1016.28,12.84,100,11.71,Cumulus,Rain
35.13,53.69,1027.53,23.51,96.75,26.79,Cumulus,Rain
13.86,47.1,1017.78,4.74,25.53,3.22,Cirrus,No Rain
22.6,63.5,1019.81,16.35,40.62,14.1,Cumulus,No Rain
12.19,89.22,1005.19,12.04,23.17,9.68,Clear,Rain
14.39,55.97,1012.17,11.82,52.09,2.68,Cumulus,No Rain
23.26,82.09,1019.54,10.91,73.92,20.81,Cumulus,Rain
19.77,70.63,1009.11,17.91,81.14,13.74,Cumulus,No Rain
30.57,91.96,1000.68,16.45,66.59,28,Cumulus,Rain
20.12,58.07,1010.81,21.28,67.0,14.1,Cumulus,No Rain
18.55,64.12,1014.82,5.65,42.84,12.18,Clear,No Rain
29.78,71.38,1001.64,2.16,75.47,24.95,Cumulus,Rain
9.91,71.05,1004.7,7.45,37.95,3.75,Cumulus,No Rain
-1.49,61.87,1010.42,11.26,47.9,-10.38,Cumulus,No Rain
20.79,73.34,1004.46,18.9,28.84,14.63,Cirrus,No Rain
13.68,67.64,1008.2,16.86,1.81,6.44,Cirrus,No Rain
3.54,84.32,1001.59,9.12,81.91,0.32,Nimbus,Rain
40.29,72.1,1013.83,11.38,44.7,28,Cumulus,No Rain
5.59,53.74,998.22,8.66,85.27,-2.52,Stratus,Rain
24.49,75.66,1005.92,14.11,51.42,20.47,Cumulus,Rain
19.37,37.28,1007.37,15.49,23.18,6.73,Cirrus,No Rain
15.95,81.38,1008.48,6.69,49.15,11.85,Cumulus,Rain
27.28,78.41,1005.73,6.22,76.61,21.67,Cumulus,Rain
37.14,83.74,1023.12,11.6,32.35,28,Cirrus,No Rain
15.54,73.01,1007.32,13.41,21.2,10.78,Cirrus,No Rain
42,97.16,1007.4,21.23,78.94,28,Cumulus,Rain
11.63,62.06,1000.92,9.88,40.0,3.97,Cumulus,No Rain
8.38,56.82,1019.82,10.84,47.99,0.93,Cumulus,No Rain
27.46,57.82,1009.19,11.47,30.35,17.9,Cirrus,No Rain
21.58,64.63,1006.34,16.19,71.73,16.45,Cumulus,Rain
14.89,56.05,1016.91,6.54,67.96,6.13,Cumulus,No Rain
14.44,39.9,1014.31,14.69,84.65,1.26,Cumulus,No Rain
25.72,61.84,1003.64,16.14,66.64,17.15,Cumulus,Rain
13.45,83.65,1013.8,8.65,67.06,10.1,Cumulus,Rain
-1.57,40.98,1011.84,6.82,46.92,-15,Cumulus,No Rain
17.81,94.66,992.6,4.59,97.59,17.2,Nimbus,Rain
11.4,52.89,1018.89,21.77,41.33,3.58,Cumulus,No Rain
22.11,46.52,1009.18,8.01,92.1,11.05,Cumulus,No Rain
7.63,26.81,1007.68,17.1,93.01,-7.13,Stratus,Rain
14.34,60.05,1015.69,18.54,100,6.3,Cumulus,No Rain
16.28,64.8,1004.89,9.65,100,11.21,Cumulus,Rain
42,70.65,1002.75,13.71,14.33,28,Cirrus,No Rain
13.73,58.36,1017.17,15.94,94.02,5.34,Cumulus,No Rain
15.35,91.97,1009.91,20.65,57.08,14.63,Cumulus,No Rain
22.87,57.55,1007.47,11.55,22.23,14.63,Cirrus,No Rain
7.52,73.47,1022.36,12.38,95.43,1.46,Stratus,No Rain
22.6,70.95,1002.88,34.73,65.52,18.86,Cumulonimbus,Rain
4.22,51.12,1017.63,4.52,49.65,-5.06,Cumulus,No Rain
19.53,69.44,1019.86,25.41,39.29,11.79,Cumulus,Rain
20.4,67.44,1016.45,11.2,56.11,14.5,Cumulus,No Rain
15.68,59.98,1016.88,13.62,26.81,5.97,Cirrus,Rain
11.49,49.34,1020.31,6.81,28.81,1.19,Cirrus,No Rain
20.43,41.81,1028.13,3.39,62.25,7.4,Cumulus,No Rain
28.67,66.63,1023.69,5.06,55.63,21.35,Cumulus,No Rain
7.42,35.55,1003.02,12.34,0,-4.2,Clear,Rain
28.7,75.6,1025.51,9.07,67.67,22.58,Nimbus,Rain
8.24,92.27,1016.78,5.53,36.22,8.21,Cumulus,No Rain
8.5,88.1,1010.46,12.75,5.04,5.86,Cirrus,No Rain
4.62,42.69,1005.24,4.48,48.05,-7.41,Cumulus,No Rain
29.46,61.5,1013.89,4.34,22.12,23.4,Cirrus,No Rain
25.68,86.38,1012.42,4.13,47.69,22.17,Cumulus,No Rain
24.58,43.98,994.4,10.22,24.26,12.72,Cirrus,No Rain
18.01,74.81,1011.15,10.5,22.21,12.9,Cirrus,No Rain
24.97,55.12,1029.38,12.61,73.49,14.94,Cumulus,No Rain
29.6,80.86,1015.97,9.76,34.72,23.33,Cirrus,No Rain
13.03,90.58,1006.97,22.86,68.56,11.71,Cumulus,Rain
29.28,69.18,1002.19,13.99,92.07,24.0,Cumulus,Rain
21.99,31.2,1009.8,11.74,22.86,10.27,Cirrus,No Rain
27.71,100,995.97,3.78,80.29,28,Nimbus,Rain
22.43,38.01,1027.67,32.18,54.85,11.73,Cumulonimbus,No Rain
14.38,88.35,1007.14,16.99,54.72,10.23,Cumulus,Rain
7.38,71.0,1012.43,16.44,27.19,-0.08,Cirrus,No Rain
5.36,65.35,1007.06,12.43,100,-1.97,Stratus,Rain
11.06,43.62,1015.41,7.13,37.92,1.55,Cumulus,No Rain
22.71,63.37,1004.94,9.24,81.13,15.28,Cumulus,Rain
24.75,44.36,1019.36,7.95,68.4,14.53,Cumulus,No Rain
18.87,41.59,1002.64,9.04,51.96,8.53,Cumulus,No Rain
14.4,61.12,1014.06,12.69,37.13,5.51,Cumulus,No Rain
1.1,82.4,1010.09,10.1,7.9,-3.13,Cirrus,No Rain
15.47,31.0,1011.64,8.52,49.04,1.12,Cumulus,No Rain
20.28,47.52,1024.44,7.03,37.43,9.42,Cumulus,No Rain
18.0,43.2,1013.45,15.41,36.85,8.1,Cumulus,No Rain
17.49,48.17,1004.24,13.53,100,6.45,Cumulus,Rain
33.75,91.27,1010.67,23.04,52.53,28,Cumulus,Rain
21.2,31.13,1000.7,14.8,34.02,6.27,Cirrus,No Rain
8.93,62.86,1010.16,2.34,79.89,3.0,Stratus,No Rain
34.05,45.55,1011.75,5.82,45.0,22.35,Cumulus,No Rain
29.81,85.47,1027.63,9.66,61.16,25.01,Cumulus,No Rain
13.47,56.66,1012.22,7.51,90.78,4.51,Cumulus,No Rain
25.1,57.43,1018.76,8.41,42.83,15.54,Cumulus,No Rain
33.61,54.83,1010.34,18.98,77.32,23.71,Cumulus,No Rain
20.45,19.85,1007.54,18.29,27.18,3.36,Cirrus,No Rain
5.41,59.47,1019.82,19.11,64.36,-2.67,Stratus,No Rain
17.09,26.01,1022.33,7.04,37.55,3.85,Cumulus,No Rain
8.05,53.88,1008.84,36.54,0,-2.3,Cirrus,Rain
24.35,100,1004.66,1.71,100,26.49,Nimbus,Rain
7.88,58.73,1026.46,12.11,34.43,0.17,Cirrus,No Rain
21.48,77.75,1024.03,22.68,55.8,16.29,Cumulus,Rain
23.04,43.69,1022.18,6.76,76.59,11.37,Cumulus,No Rain
24.08,66.17,992.15,8.92,95.67,17.44,Cumulus,Rain
23.68,76.58,1004.17,32.21,73.53,18.77,Cumulonimbus,Rain
22.17,54.43,1008.29,5.72,54.46,11.42,Cumulus,No Rain
7.01,69.53,1009.11,7.93,38.14,1.26,Cumulus,No Rain
15.34,87.73,1016.86,3.97,18.51,12.83,Cirrus,No Rain
13.56,63.73,1014.93,4.75,90.6,6.78,Cumulus,No Rain
8.77,85.83,1015.16,23.69,14.07,7.28,Cirrus,Rain
25.94,70.16,1035,10.92,90.0,20.3,Cumulus,No Rain
-6.79,84.62,1011.65,28.96,24.88,-8.59,Cirrus,Rain
13.26,49.8,1016.31,13.45,86.31,3.24,Cumulus,No Rain
18.74,60.95,1003.75,10.35,39.24,11.1,Cumulus,No Rain
18.22,59.91,1006.09,40.68,22.31,10.23,Cirrus,No Rain
21.35,45.91,997.68,7.88,22.65,11.09,Cirrus,No Rain
36.18,100,1013.77,14.61,100,28,Cumulus,Rain
1.54,89.18,1011.13,11.01,19.88,-1.18,Cirrus,No Rain
13.04,42.03,1019.03,16.5,62.47,-0.39,Cumulus,No Rain
15.87,75.03,1021.1,7.81,64.78,10.36,Cumulus,No Rain
10.03,75.83,1004.21,8.07,49.8,6.35,Cumulus,Rain
22.69,68.11,1009.71,10.31,65.55,16.43,Cumulus,No Rain
15.02,52.68,1016.45,8.95,100,5.74,Cumulus,No Rain
23.68,66.21,994.27,18.27,38.51,17.45,Cumulus,No Rain
5.27,71.09,1009.29,23.42,79.68,-0.43,Stratus,Rain
10.11,100,1016.53,14.04,50.61,9.13,Cumulus,No Rain
11.88,58.62,993.79,9.58,34.0,1.69,Cirrus,No Rain
19.03,62.99,1004.59,5.86,78.66,13.93,Cumulus,Rain
0.99,59.27,1025.19,5.81,78.27,-6.53,Stratus,No Rain
20.13,91.47,1016.23,40.01,52.31,18.25,Cumulonimbus,Rain
32.33,68.36,1005.59,12.85,49.88,23.42,Cumulus,No Rain
27.01,50.32,1011.09,15.8,24.59,18.77,Cirrus,No Rain
11.5,68.8,1009.8,2.94,32.64,4.29,Cirrus,No Rain
25.14,98.54,1019.67,16.55,100,24.38,Cumulus,Rain
20.46,100,1008.33,8.36,21.14,20.07,Cirrus,Rain
11.31,81.74,1026.08,5.95,82.74,5.17,Stratus,Rain
2.0,49.16,1007.58,10.44,23.68,-7.7,Cirrus,No Rain
4.68,59.86,1014.99,7.65,24.5,-4.36,Cirrus,No Rain
12.11,90.16,1013.83,7.58,25.04,9.59,Cirrus,No Rain
22.07,67.32,1005.37,7.91,51.91,16.7,Cumulus,No Rain
11.45,77.09,1028.07,11.63,91.45,7.28,Stratus,Rain
20.3,55.69,1011.71,4.72,14.77,10.24,Cirrus,Rain
4.6,82.92,1010.39,13.27,19.59,1.64,Cirrus,No Rain
24.23,72.99,1017.58,8.88,11.75,21.04,Cirrus,No Rain
10.6,50.19,1012.61,10.67,57.45,-1.1,Cumulus,No Rain
30.28,77.94,1001.61,15.09,20.6,24.75,Cirrus,Rain
11.67,75.46,1010.93,9.36,15.54,7.02,Cirrus,No Rain
9.64,77.6,1011.91,19.52,67.56,7.24,Stratus,Rain
27.24,35.9,1009.96,8.94,41.43,15.13,Cumulus,No Rain
25.78,43.42,1005.9,13.58,74.9,13.55,Cumulus,Rain
22.61,40.18,1015.31,7.95,48.1,11.48,Cumulus,No Rain
28.72,33.46,995.36,9.47,65.03,15.75,Cumulus,Rain
5.17,54.13,1013.4,12.01,81.66,-4.25,Stratus,No Rain
13.21,52.32,1029.28,4.63,51.78,2.57,Cumulus,No Rain
9.74,62.55,1022.47,11.79,80.79,4.07,Cumulus,No Rain
21.93,59.7,1007.7,6.56,0,12.76,Cirrus,No Rain
23.15,91.22,1010.23,15.63,57.82,20.4,Cumulus,No Rain
13.11,65.53,997.45,3.99,67.49,5.66,Cumulus,Rain
16.61,100,1000.75,15.16,48.07,15.66,Cumulus,Rain
13.67,77.2,1000.47,8.84,67.94,9.44,Cumulus,Rain
23.65,93.07,1003.69,5.82,53.02,22.94,Cumulus,Rain
29.76,90.45,1011.99,12.57,42.9,28,Cumulus,No Rain
22.87,65.65,1020.21,12.92,0,15.5,Cirrus,No Rain
9.45,69.35,1012.99,21.07,49.59,4.79,Cumulus,No Rain
17.28,30.95,1008.27,5.3,50.78,3.98,Cumulus,Rain
10.29,60.13,1002.13,25.33,23.44,6.69,Cirrus,No Rain
21.94,45.36,1025.82,7.74,53.16,10.06,Cumulus,No Rain
13.61,70.52,1015.78,7.17,79.24,8.12,Cumulus,No Rain
11.73,92.93,1010.46,27.76,76.41,10.08,Stratus,Rain
14.36,100,999.78,18.87,58.03,12.57,Cumulus,Rain
16.91,85.54,1001.17,13.15,66.79,15.08,Cumulus,Rain
14.64,99.5,1012.21,19.76,15.04,14.99,Cirrus,No Rain
11.84,61.99,1007.01,8.32,63.27,3.41,Stratus,No Rain
28.07,48.17,1022.08,3.55,61.56,16.4,Cumulus,No Rain
17.69,65.27,1017.19,18.01,50.09,10.33,Cumulus,No Rain
13.72,56.43,1006.99,10.21,69.24,6.04,Cumulus,Rain
19.31,94.05,1011.89,12.3,53.75,18.39,Nimbus,No Rain
31.43,93.83,1022.91,18.21,56.6,28,Cumulus,No Rain
12.89,77.47,1001.14,29.51,89.48,8.18,Cumulonimbus,Rain
14.96,74.56,1018.38,7.29,88.94,9.07,Cumulus,No Rain
21.94,58.35,1021.26,9.84,86.67,13.84,Cumulus,No Rain
11.43,39.26,1004.42,8.61,100,-0.32,Stratus,Rain
13.45,56.95,1003.03,22.28,80.38,4.91,Cumulus,Rain
26.87,100,1019.23,1.92,43.77,27.95,Cumulus,No Rain
12.69,61.46,988.74,4.29,69.99,5.82,Cumulus,Rain
18.54,51.83,1015.93,18.92,29.81,9.47,Cirrus,No Rain
20.16,71.84,1027.85,9.38,85.05,14.67,Cumulus,No Rain
5.01,19.24,1019.58,7.77,67.37,-11.42,Stratus,No Rain
11.37,39.68,1012.58,12.72,58.99,-2.92,Cumulus,No Rain
16.19,64.94,995.73,19.76,75.45,8.54,Cumulus,Rain
16.01,100,1005.48,13.04,31.45,16.47,Cirrus,Rain
13.8,88.58,1004.61,5.33,100,11.55,Clear,Rain
14.19,72.65,1026.34,14.02,31.83,8.65,Cirrus,No Rain
8.63,62.05,1005.75,4.42,0,1.01,Cirrus,No Rain
40.19,59.22,1020.12,8.57,68.14,28,Cirrus,No Rain
28.1,72.06,999.18,7.84,100,21.77,Cumulus,Rain
2.63,54.72,1022.86,2.59,100,-7.63,Cumulus,Rain
7.56,43.61,999.01,19.52,34.71,-3.88,Cirrus,No Rain
32.19,64.4,1027.04,18.46,89.83,25.57,Cumulus,No Rain
17.4,68.36,1009.14,14.4,75.07,10.87,Cumulus,No Rain
22.39,35.5,1011.36,8.38,30.6,10.1,Cirrus,No Rain
32.97,76.48,1019.7,10.88,73.63,28,Cumulus,Rain
21.84,73.01,1006.15,4.76,6.78,15.56,Cirrus,No Rain
26.51,70.02,1011.88,10.84,54.74,19.6,Cumulus,No Rain
18.89,67.39,1023.01,5.66,0,11.19,Cirrus,No Rain
27.13,62.97,1026.62,5.62,67.02,18.78,Cumulonimbus,No Rain
26.52,55.22,1010.5,10.42,22.64,15.97,Cirrus,No Rain
33.63,81.41,1020.88,15.71,0,28,Cirrus,No Rain
11.04,78.98,1003.08,7.96,15.93,6.61,Cirrus,Rain
17.52,30.4,1013.78,9.7,45.33,4.45,Stratus,No Rain
30.39,43.85,1035,13.47,86.13,22.41,Cumulus,No Rain
17.94,61.18,1026.65,26.69,22.24,11.99,Cirrus,No Rain
4.37,45.1,1006.27,2.79,0,-5.14,Cirrus,No Rain
14.25,100,1010.76,12.63,42.84,14.28,Cumulus,No Rain
17.67,64.88,1016.67,5.66,45.73,12.67,Cumulus,Rain
9.52,26.8,1002.75,21.76,100,-7.46,Stratus,Rain
14.71,70.63,1010.62,6.22,69.37,9.63,Cumulus,No Rain
-4.11,95.17,1009.6,7.48,65.84,-4.16,Stratus,Rain
15.09,16.67,1019.56,2.97,46.16,1.19,Cumulus,No Rain
6.78,75.15,1010.29,20.32,71.87,1.73,Stratus,Rain
14.72,37.39,1018.59,8.26,35.09,3.04,Cumulus,Rain
20.86,40.51,1020.54,12.65,42.59,8.81,Cumulus,No Rain
10.0,40.22,1013.63,9.23,64.35,-1.3,Stratus,No Rain
20.47,24.11,1007.02,4.81,30.7,4.39,Nimbus,No Rain
22.05,57.53,1016.37,6.86,66.29,13.22,Cumulus,No Rain
3.66,65.5,1014.54,14.5,70.08,-2.31,Stratus,No Rain
11.6,41.95,1012.57,6.49,61.08,2.0,Stratus,No Rain
26.54,35.65,1012.81,4.76,78.19,15.96,Cumulus,No Rain
17.16,87.29,1012.94,3.97,76.9,14.37,Cumulus,Rain
14.69,91.25,1010.05,14.04,67.15,11.8,Cumulus,Rain
-0.36,71.51,1008.79,33.4,56.69,-8.64,Cumulonimbus,Rain
17.74,57.63,1009.22,20.88,100,8.96,Cumulus,No Rain
-5.79,92.62,986.75,16.01,92.99,-7.4,Nimbus,Rain
37.76,49.65,1017.21,9.37,0.02,28,Cirrus,No Rain
8.71,62.05,1008.11,14.92,63.12,3.65,Stratus,No Rain
10.42,59.43,1021.66,9.69,31.05,3.23,Cirrus,Rain
17.2,76.0,1002.45,3.22,27.83,11.97,Cirrus,Rain
23.78,68.23,1011.03,24.4,48.83,18.79,Cumulus,No Rain
21.29,57.12,1020.54,11.08,50.11,13.02,Cumulus,No Rain
23.74,67.4,995.95,24.65,68.08,18.09,Cumulus,Rain
29.0,31.92,1017.15,25.55,58.31,15.39,Cumulonimbus,No Rain
27.94,59.41,1026.73,12.91,59.97,20.03,Cumulus,No Rain
26.0,100,1005.66,6.34,41.51,25.98,Cumulus,Rain
4.25,78.56,1020.9,16.62,51.56,1.18,Nimbus,Rain
29.04,49.76,1011.16,8.02,52.83,17.92,Cumulus,No Rain
40.1,51.78,1017.19,8.01,31.94,28,Cirrus,No Rain
4.77,62.87,1016.28,16.62,32.41,-2.83,Cirrus,No Rain
22.11,39.77,999.71,8.18,73.4,9.43,Cumulus,Rain
31.16,43.67,1015.5,17.05,19.13,19.58,Cirrus,No Rain
5.08,47.71,1015.88,3.08,38.66,-5.72,Cumulus,No Rain
2.59,57.43,1021.94,12.96,31.84,-4.6,Cirrus,No Rain
2.5,75.74,1016.46,23.78,72.25,-0.7,Stratus,Rain
8.87,91.06,1007.05,9.46,100,6.44,Nimbus,Rain
34.9,23.41,1002.36,4.24,0,19.57,Clear,No Rain
34.65,78.08,1015.48,10.93,69.23,28,Cumulus,Rain
12.49,69.18,1002.9,16.13,53.19,6.24,Cumulus,No Rain
25.49,94.66,998.44,4.68,58.11,23.61,Cumulus,Rain
11.2,77.97,1013.25,10.24,31.77,8.83,Cirrus,No Rain
13.24,54.19,1009.45,5.63,30.88,3.46,Cirrus,No Rain
15.12,56.81,1024.48,15.14,100,3.93,Cumulus,No Rain
14.31,75.0,1028.96,10.82,34.92,9.22,Cirrus,No Rain
13.28,74.31,1018.68,16.72,70.37,7.49,Cumulus,Rain
31.25,64.02,1011.09,18.05,50.4,22.95,Cumulus,No Rain
25.74,55.47,1001.38,8.91,43.39,16.03,Cumulus,No Rain
20.06,56.77,1011.22,5.3,41.25,11.66,Cumulus,No Rain
23.7,74.32,1023.9,8.8,35.9,18.58,Cumulus,No Rain
31.43,65.51,1024.67,17.33,25.63,25.75,Cirrus,No Rain
23.78,64.46,1017.8,12.04,58.62,16.97,Cumulus,No Rain
12.34,95.25,1023.15,3.47,81.52,11.01,Cumulus,Rain
13.29,35.39,1000.62,4.8,66.6,1.48,Cumulus,Rain
4.78,90.66,1015.57,11.06,16.47,3.5,Cirrus,No Rain
5.17,61.95,1013.5,17.86,69.61,-2.55,Stratus,No Rain
15.66,68.25,1011.49,18.61,79.26,9.48,Cumulus,No Rain
6.27,56.23,1005.63,13.32,89.06,-1.49,Stratus,Rain
14.04,47.36,1017.43,16.5,24.66,4.87,Cirrus,No Rain
3.7,50.17,1012.31,7.47,38.17,-5.77,Cumulus,No Rain
1.2,77.63,1008.2,12.74,59.6,-2.29,Cumulus,No Rain
23.58,87.91,1017.89,15.77,35.96,21.12,Cumulus,No Rain
16.04,70.06,1013.49,14.2,85.38,8.32,Cumulus,No Rain
20.21,65.83,1006.34,9.65,77.69,13.16,Cumulus,Rain
23.17,68.4,1020.07,19.28,89.35,16.25,Cumulus,No Rain
14.28,31.38,1015.72,19.09,0.02,1.96,Clear,No Rain
19.37,43.33,1001.12,5.75,0,7.66,Clear,No Rain
17.46,41.3,1013.02,14.67,74.18,6.58,Cumulus,No Rain
9.13,64.49,1029.65,21.14,47.0,5.13,Cumulus,No Rain
12.58,38.51,1018.47,20.46,38.32,-1.99,Cumulus,No Rain
13.95,55.09,1007.29,9.72,38.68,6.69,Cumulus,No Rain
16.47,58.95,1005.37,5.33,18.87,8.46,Cirrus,No Rain
17.77,26.62,1008.53,23.78,100,3.76,Cumulus,Rain
18.8,65.01,1007.26,8.65,77.84,10.24,Cumulus,Rain
34.17,72.4,1024.88,20.05,88.83,28,Cumulus,No Rain
6.46,69.97,1005.72,17.18,1.63,2.41,Cirrus,No Rain
16.62,63.96,1011.91,22.12,93.98,10.69,Cumulus,No Rain
0.63,65.81,1001.94,15.33,77.79,-6.43,Stratus,Rain
20.15,76.4,1004.24,11.31,52.63,16.51,Cumulus,Rain
26.69,62.09,1007.51,6.14,100,19.99,Cumulus,Rain
6.28,66.55,1003.2,9.21,93.15,-0.22,Stratus,Rain
21.09,56.45,1011.19,7.45,41.96,13.37,Cumulus,No Rain
-8,52.15,1022.07,1.68,0,-15,Cirrus,No Rain
